Unnamed: 0,sentiment,confidence,label,Content
1931,1,0.9805518984794616,Positive,halo dar saran kalau paylater guna semua fitur aplikasi jangan batasin gak selalu butuh tiket hotel terimakasih moga dengar saran
5896,0,0.9999340772628784,Negative,respon lama klo ad masalah traveloca nya
5096,0,0.9999287128448486,Negative,sangat buruk kali uang ambil transfer tpi tiket keluar
3355,0,0.9998935461044312,Negative,nyari tiket selalu sistem masalah
6901,0,0.9997959733009338,Negative,mudah cari inap sesuai budget
6763,1,0.999870538711548,Positive,sangat bantu selalu utk butuh terbang jalan darat via ka hadiah tiket pesawat jakarta bal krn sy langgan setia tour guide marketing property salam sukses selalu terima ksh
6228,1,0.9977765679359436,Positive,terimakasih sangat puas dgn layan yg beri kait refund dr tiket voucher gagal terbit yg alami kmrn
1510,0,0.9999234676361084,Negative,aplikasi gak log in buka minta konfirmasi wa sms kode gak kirim wa sms kirim sinyal hp nerima yg hny gak fungsi
4382,0,0.9999099969863892,Negative,verifikasi gagal terus malah baca batas waktu pesan habis uang
728,0,0.999082088470459,Negative,sangat mudah guna recomended bnget
5956,1,0.9972270131111144,Positive,aplikasi mudah guna cepat layan
6679,1,0.9994980096817015,Positive,jauh selalu puas make aplikasi dulu mau rescheduled tiket cukup mudah cepat ga perlu nunggu jam jam
2115,0,0.9999163150787354,Negative,info berapa lama proses dana masuk status refund kirim
2762,1,0.9997438788414,Positive,sangat bantu saat kondisi uang mepet dg aplikasi hotel sesuai budget tipis mantul sahabat setia si budget tipis
3298,0,0.999860405921936,Negative,kecewa dapat konfirmasi tulis voucher dapat jatah sarap tamu nyata realisasi pihak hotel tamu solusi kompensasi kalau deal pihak hotel jangan kasih harap palsu konsumen
5071,0,0.9999383687973022,Negative,susah mau sen tiket bis gak pernah hasil
